GeneID,Pool
CNAG_05119,Ctrl
CNAG_04027,Ctrl
CNAG_03019,Ctrl
CNAG_04846,Ctrl
CNAG_04903,Ctrl
CNAG_03735,Ctrl
CNAG_05412,Ctrl
CNAG_05004,Ctrl
CNAG_01076,Ctrl
CNAG_06758,Ctrl
CNAG_07784,Ctrl
CNAG_03564,Ctrl
CNAG_01689,Ctrl
CNAG_04397,Ctrl
CNAG_05177,Ctrl
CNAG_02942,Ctrl
CNAG_03050,Ctrl
CNAG_04470,Ctrl
CNAG_04085,Ctrl
CNAG_03504,Ctrl
CNAG_04152,Ctrl
CNAG_06689,Ctrl
CNAG_04306,Ctrl
CNAG_00453,Ctrl
CNAG_07840,Ctrl
CNAG_04911,Ctrl
CNAG_01500,Ctrl
CNAG_07331,Ctrl
CNAG_06868,Ctrl
CNAG_06540,Ctrl
CNAG_05046,Ctrl
CNAG_01030,Ctrl
CNAG_01171,Ctrl
CNAG_00870,Ctrl
CNAG_00544,Ctrl
CNAG_03135,Ctrl
CNAG_02869,Ctrl
CNAG_05853,Ctrl
CNAG_03090,Ctrl
CNAG_07011,Ctrl
CNAG_01417,Ctrl
CNAG_00889,Ctrl
CNAG_02103,Ctrl
CNAG_00280,Ctrl
CNAG_02085,Ctrl
CNAG_00353,Ctrl
CNAG_00412,Ctrl
CNAG_00465,Ctrl
CNAG_00576,Ctrl
CNAG_00623,Ctrl
CNAG_00780,Ctrl
CNAG_00893,Ctrl
CNAG_00941,Ctrl
CNAG_00972,Ctrl
CNAG_00973,Ctrl
CNAG_01821,Ctrl
CNAG_01827,Ctrl
CNAG_02314,Ctrl
CNAG_02464,Ctrl
CNAG_02582,Ctrl
CNAG_03224,Ctrl
CNAG_03311,Ctrl
CNAG_03993,Ctrl
CNAG_03999,Ctrl
CNAG_04036,Ctrl
CNAG_04274,Ctrl
CNAG_04396,Ctrl
CNAG_04502,Ctrl
CNAG_04766,Ctrl
CNAG_04850,Ctrl
CNAG_05027,Ctrl
CNAG_05065,Ctrl
CNAG_05104,Ctrl
CNAG_05272,Ctrl
CNAG_05413,Ctrl
CNAG_05766,Ctrl
CNAG_05871,Ctrl
CNAG_06008,Ctrl
CNAG_06022,Ctrl
CNAG_06078,Ctrl
CNAG_06253,Ctrl
CNAG_06341,Ctrl
CNAG_06460,Ctrl
CNAG_06596,Ctrl
CNAG_06791,Ctrl
CNAG_06854,Ctrl
CNAG_07449,Ctrl
CNAG_07692,Ctrl
